player_name,draft_year,pick_number,college,height_inches,weight_lbs,position,ppg,apg,rpg,spg,bpg,mpg,topg,fpg,fg_pct,three_pt_pct,ft_pct,efg_pct,two_pt_pct,ws,ws_40,ows,dws,ts_pct,tov_pct,ftr,three_pt_attempt_rate,college_seasons,one_and_done,recruit_rank,is_top_100_recruit,is_top_10_recruit,nba_seasons,nba_4yr_total_mp,nba_4yr_bpm,nba_4yr_vorp,nba_4yr_ws,career_ws48,meaningful_career,bpm_tier,minutes_tier,PosVORP
Jason Hart,2000,49,Syracuse,75,185,Guard,11.38636364,5.371212121,3.28030303,2.492424242,0.1060606061,34.03030303,3.303030303,2.734848485,0.393,0.326,0.712,0.445,0.424,11.6,0.103,3.1,8.5,0.486,22,0.33,0.319,4,0,101,0,0,9,764,0.03926701571,0.4,2.2,0.078,0,Starter+,Bust,1
Kaniel Dickens,2000,50,Idaho,80,215,Center,9.345454545,0.6181818182,5.745454545,0.8545454545,0.7090909091,22.23636364,2.036363636,1.745454545,0.483,0.351,0.63,0.5,0.497,4,0.131,2,2,0.534,18.9,0.554,0.097,2,0,101,0,0,3,12,-0.5,0,0,0.055,0,Rotation,Bust,0
Dan McClintock,2000,53,Northern Arizona University,84,270,Center,11.85217391,0.6869565217,4.226086957,0.347826087,1.704347826,18.95652174,1.773913043,1.973913043,0.632,0,0.652,0.632,0.632,14.3,0.262,10.5,3.8,0.642,16.1,0.499,0.001,4,0,101,0,0,1,58,-7.9,-0.1,0,0.007,0,Bust,Bust,0
Chris Porter,2000,55,Auburn,79,218,Forward,15.33928571,1.142857143,8.035714286,2.071428571,0.3928571429,28.875,2.232142857,2.607142857,0.467,0.308,0.651,0.476,0.477,10.2,0.251,2.6,7.6,0.514,13,0.464,0.057,2,0,101,0,0,1,1147,-4.5,-0.7,0.2,0.008,0,Bust,Rotation,0
Jaquay Walls,2000,56,Colorado,75,170,Guard,14.29230769,4.2,3.153846154,1.461538462,0.2153846154,27.47692308,2.876923077,2.8,0.419,0.356,0.746,0.483,0.455,7.8,0.174,4.3,3.4,0.547,18,0.564,0.357,2,0,101,0,0,0,0,0,0,0,0,0,Bust,Bust,0
Scoonie Penn,2000,57,Ohio State,70,185,Guard,14.86065574,3.860655738,3.737704918,1.836065574,0.09016393443,34.57377049,2.5,2.024590164,0.42,0.338,0.755,0.512,0.517,16.4,0.156,9,7.4,0.552,15.7,0.35,0.54,4,0,101,0,0,0,0,0,0,0,0,0,Bust,Bust,0
Pete Mickeal,2000,58,Cincinnati,77,230,Forward,14.23076923,1.769230769,6.753846154,1.492307692,0.3846153846,32.6,2.076923077,2.538461538,0.545,0.355,0.711,0.568,0.573,12.3,0.233,6.6,5.7,0.607,15,0.587,0.128,2,0,101,0,0,0,0,0,0,0,0,0,Bust,Bust,0
Jason Richardson,2001,5,Michigan State,78,220,Guard,9.642857143,1.371428571,4.971428571,0.8285714286,0.4857142857,21.74285714,1.142857143,1.857142857,0.503,0.383,0.649,0.558,0.551,8.7,0.229,3.7,5,0.573,12,0.285,0.287,2,0,14,1,0,13,10987,0.4152998999,6.6,17.5,0.097,1,Starter+,Starter+,1
Shane Battier,2001,6,Duke,80,220,Forward,13.5890411,1.636986301,6.075342466,1.821917808,1.739726027,29.69863014,1.102739726,2.02739726,0.5,0.416,0.777,0.594,0.57,29.8,0.275,13.5,16.3,0.632,9.3,0.431,0.454,4,0,101,0,0,13,9943,1.823393342,9.5,24.7,0.121,1,Starter+,Starter+,1
Eddie Griffin,2001,7,Seton Hall,82,220,Forward,17.76666667,1.633333333,10.76666667,0.8666666667,4.433333333,32.63333333,2.233333333,2.366666667,0.429,0.32,0.734,0.472,0.469,4.6,0.189,1,3.6,0.501,11.2,0.227,0.267,1,1,2,1,1,5,5278,0.05551345207,2.7,9.5,0.078,1,Starter+,Starter+,1
Rodney White,2001,9,UNC Charlotte,81,238,Forward,18.7,1.5,6.5,1.2,0.7,30.9,2.9,2.6,0.487,0.347,0.713,0.53,0.533,4.4,0.202,2.5,1.9,0.566,15.1,0.415,0.246,1,1,77,1,0,4,3354,-2.187268933,-0.2,1.7,0.026,1,Rotation,Rotation,0
Joe Johnson,2001,10,Arkansas,80,225,Forward,15,2.396226415,6.132075472,1.660377358,0.4528301887,30.28301887,2.490566038,1.698113208,0.466,0.406,0.753,0.515,0.485,7.3,0.182,3.3,4,0.545,15.3,0.262,0.239,2,0,25,1,0,18,9418,-1.076948397,2.2,12.1,0.09,1,Rotation,Starter+,1
Richard Jefferson,2001,13,Arizona,79,222,Forward,11.23809524,2.761904762,4.952380952,0.6071428571,0.75,26.32142857,2.702380952,2.607142857,0.49,0.368,0.718,0.534,0.528,9.8,0.177,5,4.8,0.572,21.6,0.436,0.238,3,0,33,1,0,17,9284,1.37764972,7.9,28,0.116,1,Starter+,Starter+,1
Troy Murphy,2001,14,Notre Dame,83,245,Forward,21.4,1.7,9.8,1.2,1.3,35.1,3,2.9,0.496,0.335,0.777,0.52,0.522,15.9,0.193,11.5,4.5,0.582,14.1,0.551,0.139,3,0,46,1,0,12,6943,-1.700907389,0.6,14.4,0.121,1,Rotation,Starter+,1
